state,cases_new,cases_recovered,cases_active,per_1000
Johor,400890,394314,5895029,1000
Kedah,321684,319289,2873345,1000
Kelantan,263108,261483,2560241,1000
Melaka,151216,148393,2350112,1000
Negeri Sembilan,233913,232081,2546206,1000
Pahang,184534,182852,2396759,1000
Perak,243101,240374,2468346,1000
Perlis,19461,19188,229516,1000
Pulau Pinang,311968,309574,2763272,1000
Sabah,408120,401398,7085969,1000
Sarawak,327927,325909,3717196,1000
Selangor,1575889,1563455,18280918,1000
Terengganu,134598,133403,1416825,1000
Satun,0,0,0,1
Songkhla,0,0,0,1
Pattani,0,0,0,1
Yala,0,0,0,1
Narathiwat,0,0,0,1
South West,0,0,0,1
North West,0,0,0,1
Central Singapore,0,0,0,1
North East ,0,0,0,1
South East,0,0,0,1
Kepulauan Riau,0,0,0,1
Riau,0,0,0,1
Sumatera Utara,0,0,0,1
Kalimantan Barat,0,0,0,1
Kalimantan Timur,0,0,0,1
Belait,0,0,0,1
Tutong,0,0,0,1
Brunei and Muara,0,0,0,1
Labuan,0,0,0,1
Palawan,0,0,0,1
